0.146	0.188
0.047	0.170
0.050	0.180
0.133	0.212
0.108	0.159
0.088	0.166
0.102	0.190
0.176	0.214
0.017	0.140
0.078	0.231
0.133	0.158
0.080	0.185
0.166	0.246
0.050	0.205
0.159	0.189
0.118	0.140
0.080	0.221
0.127	0.204
0.093	0.226
0.059	0.174
0.051	0.176
0.073	0.196
0.114	0.233
0.090	0.223
0.125	0.208
0.081	0.251
0.169	0.231
0.096	0.286
0.172	0.135
0.126	0.256
0.177	0.247
0.070	0.283
0.161	0.313
0.249	0.260
0.193	0.268
0.251	0.293
0.161	0.260
0.187	0.309
0.190	0.346
0.090	0.264
0.177	0.333
0.263	0.327
0.236	0.370
0.239	0.280
0.223	0.308
0.193	0.366
0.229	0.370
0.294	0.340
0.265	0.311
0.244	0.385
0.369	0.354
0.368	0.436
0.359	0.432
0.309	0.377
0.331	0.313
0.388	0.407
0.394	0.408
0.431	0.445
0.424	0.424
0.355	0.422
0.356	0.428
0.505	0.484
0.475	0.480
0.415	0.492
0.441	0.465
0.473	0.468
0.511	0.512
0.456	0.563
0.507	0.415
0.468	0.559
0.549	0.581
0.514	0.527
0.572	0.569
0.525	0.521
0.616	0.534
0.612	0.603
0.624	0.533
0.639	0.594
0.561	0.593
0.624	0.602
0.638	0.666
0.643	0.579
0.653	0.656
0.731	0.674
0.635	0.633
0.719	0.611
0.674	0.691
0.748	0.663
0.697	0.617
0.675	0.667
0.770	0.754
0.734	0.730
0.702	0.712
0.692	0.675
0.745	0.698
0.738	0.731
0.754	0.704
0.774	0.658
0.768	0.696
0.761	0.747
0.798	0.728
0.775	0.706
0.750	0.696
0.721	0.715
0.794	0.714
0.848	0.733
0.806	0.802
0.714	0.717
0.748	0.751
0.842	0.744
0.830	0.761
0.812	0.784
0.829	0.724
0.786	0.779
0.755	0.698
0.801	0.738
0.786	0.749
0.844	0.801
0.801	0.764
0.841	0.831
0.872	0.790
0.838	0.756
0.848	0.823
0.841	0.753
0.858	0.801
0.871	0.785
0.845	0.790
0.768	0.723
0.783	0.778
0.818	0.779
0.867	0.745
0.846	0.765
0.858	0.754
0.809	0.812
0.811	0.786
